data;valor
1 Trim.2021;2093818
2 Trim.2021;2115298
3 Trim.2021;2019647
4 Trim.2021;2037702
1 Trim.2022;2042311
2 Trim.2022;2056274
3 Trim.2022;2026282
4 Trim.2022;2093673
1 Trim.2023;2156737
2 Trim.2023;2338169
3 Trim.2023;2319429
4 Trim.2023;2409489
1 Trim.2024;2461006
2 Trim.2024;2425437
3 Trim.2024;2428600
